time,surv
0.683709869,0.994232969
1.860879905,0.995719728
2.645659929,0.997196102
3.561236623,0.997220333
3.8882283,0.995773383
3.8882283,0.979761738
3.953626635,0.963751824
3.953626635,0.952106991
4.476813317,0.947754025
4.869203329,0.946308806
5,0.939034247
5,0.927389415
5.523186683,0.927403261
5.98097503,0.927415377
5.98097503,0.915770544
5.98097503,0.904125712
6.046373365,0.895393818
6.700356718,0.892499918
7.158145065,0.892512033
7.681331748,0.89252588
7.942925089,0.88088797
8.008323424,0.864878056
8.008323424,0.853233224
8.008323424,0.837221579
8.596908442,0.83869276
8.793103448,0.837242349
9.05469679,0.827060043
9.05469679,0.812504002
9.05469679,0.797947962
8.989298454,0.787757002
8.989298454,0.770289753
8.989298454,0.760100525
8.989298454,0.749911296
8.923900119,0.730986713
8.989298454,0.722254819
8.989298454,0.707698778
8.989298454,0.701876362
9.381688466,0.700431143
9.904875149,0.700444989
9.904875149,0.68297774
9.904875149,0.666966095
9.904875149,0.656776867
9.904875149,0.649498846
9.904875149,0.63639841
9.904875149,0.626209181
10.49346017,0.626224758
10.88585018,0.626235143
10.88585018,0.614590311
10.88585018,0.602945478
10.95124851,0.588391168
11.40903686,0.585492076
11.80142687,0.58550246
11.80142687,0.572402024
12.06302021,0.556397302
12.06302021,0.543296865
13.04399524,0.546234036
13.8941736,0.546256536
14.48275862,0.544816509
14.94054697,0.543373021
15.07134364,0.530276046
15.07134364,0.517175609
15.07134364,0.508441984
15.07134364,0.498252756
15.07134364,0.49243034
15.0059453,0.485150588
15.0059453,0.477872568
15.0059453,0.467683339
15.0059453,0.467683339
15.0059453,0.457494111
15.07134364,0.447306613
15.07134364,0.444395405
15.79072533,0.44295884
16.117717,0.442967494
16.51010702,0.441522275
17.16409037,0.441539583
17.49108205,0.441548237
17.94887039,0.441560352
17.94887039,0.427004311
17.94887039,0.419726291
17.94887039,0.409537063
18.01426873,0.402260773
17.94887039,0.396436626
18.1450654,0.394986214
18.86444709,0.396460857
18.86444709,0.393549649
18.86444709,0.380449212
18.99524376,0.371719049
19.51843044,0.370277292
20.17241379,0.371750204
20.69560048,0.37176405
21.34958383,0.371781358
21.34958383,0.371781358
21.74197384,0.371791743
21.93816885,0.371796935
21.80737218,0.363059849
21.93816885,0.355785291
22.00356718,0.347053397
22.00356718,0.341230981
22.5921522,0.342702162
23.04994055,0.342714278
23.37693222,0.342722932
24.09631391,0.34274197
24.03091558,0.329639803
24.03091558,0.320906178
24.35790725,0.318003624
24.94649227,0.315107993
25.53507729,0.313667966
26.71224732,0.310787913
26.38525565,0.316601675
26.97384067,0.316617252
26.97384067,0.306428024
26.97384067,0.297694399
26.97384067,0.290416379
26.843044,0.287501709
26.97384067,0.28022715
27.30083234,0.280235804
27.62782402,0.281700062
28.21640904,0.28171564
28.67419738,0.280272151
28.87039239,0.275910531
29.13198573,0.252627789
29.00118906,0.262813556
29.00118906,0.246801911
29.13198573,0.243894165
30.30915577,0.243925319
29.85136742,0.241001996
30.70154578,0.241024496
31.4863258,0.241045266
32.07491082,0.241060843
32.5980975,0.241074689
33.25208086,0.241091997
33.64447087,0.24401359
33.84066587,0.244018783
34.42925089,0.242578756
