Time,surv
0.257787325,0.999990466
0.96670247,0.99995551
1.740064447,0.999917376
2.448979592,0.99840313
3.029001074,0.998374529
3.480128894,0.999831574
4.25349087,0.99979344
4.25349087,0.98943841
4.25349087,0.974645511
4.317937701,0.964287303
4.317937701,0.945056534
4.124597207,0.931752458
4.317937701,0.911032865
4.511278195,0.912502622
4.70461869,0.903617349
4.769065521,0.887341981
4.769065521,0.878466242
5.155746509,0.878447175
5.349087003,0.876958351
5.155746509,0.868092145
5.22019334,0.859213227
5.22019334,0.851816778
5.22019334,0.839982458
5.22019334,0.835544588
5.22019334,0.823710269
5.22019334,0.819272399
5.22019334,0.810396659
5.22019334,0.8044795
5.22019334,0.79560376
5.22019334,0.7896866
5.800214823,0.789658
6.12244898,0.78816282
6.12244898,0.776328501
6.12244898,0.765973471
6.12244898,0.761535601
6.766917293,0.755586663
7.153598281,0.755567596
7.153598281,0.737816117
7.153598281,0.725981797
7.024704619,0.714153833
7.024704619,0.702319514
7.733619764,0.702284558
8.120300752,0.70226549
8.184747583,0.693386573
8.184747583,0.685990123
8.184747583,0.680072963
8.184747583,0.669717934
8.120300752,0.662324662
8.120300752,0.651969632
8.184747583,0.644570005
8.442534909,0.644557293
8.700322234,0.641586002
8.764769066,0.635665665
8.829215897,0.626786747
9.087003222,0.625294746
9.022556391,0.610505024
9.022556391,0.595712125
9.087003222,0.588312497
9.087003222,0.576478178
9.087003222,0.570561018
9.087003222,0.563164568
9.087003222,0.560205988
9.92481203,0.561643966
9.409237379,0.561669389
10.05370569,0.561637611
10.05370569,0.557199741
10.05370569,0.546844711
10.05370569,0.540927551
9.989258861,0.536492859
9.989258861,0.52613783
9.989258861,0.51874138
9.989258861,0.50986564
9.989258861,0.50986564
9.989258861,0.503948481
10.11815252,0.503942125
10.50483351,0.503923058
10.76262084,0.502431057
11.08485499,0.502415167
11.08485499,0.495018718
11.08485499,0.490580848
11.08485499,0.483184398
11.08485499,0.478746528
11.72932331,0.47871475
11.98711063,0.478702038
11.9226638,0.465391607
11.98711063,0.449116239
11.98711063,0.44615766
12.05155747,0.438758032
12.1160043,0.432837694
12.1160043,0.422482665
12.1160043,0.415086215
12.1160043,0.415086215
12.76047261,0.415054437
13.08270677,0.413559257
13.08270677,0.407642098
13.08270677,0.394328488
13.08270677,0.391369908
13.59828142,0.389865196
14.11385607,0.389839773
14.24274973,0.389833417
14.62943072,0.38981435
15.01611171,0.389795283
15.33834586,0.389779394
15.72502685,0.389760326
15.91836735,0.388271503
15.72502685,0.379405297
15.91836735,0.364602864
15.85392052,0.355730302
16.04726101,0.342407159
16.11170784,0.335007532
17.20730397,0.334953508
16.88506982,0.333490107
17.40064447,0.334943974
17.91621912,0.334918552
17.85177229,0.32160812
17.78732546,0.312735558
18.10955961,0.309761089
18.56068743,0.309738844
18.81847476,0.300850393
18.94736842,0.290489008
19.01181525,0.2801308
19.46294307,0.280108555
20.04296455,0.280079955
20.36519871,0.280064065
20.7518797,0.280044998
21.58968851,0.280003686
22.23415682,0.279971908
22.68528464,0.279949663
22.8141783,0.268108988
22.8141783,0.259233248
22.8141783,0.248878218
22.87862513,0.242957881
23.45864662,0.24292928
23.65198711,0.242919747
24.42534909,0.242881612
24.55424275,0.242875257
25.84317938,0.2428117
27.64769066,0.2456813
29.96777658,0.245566897
32.15896885,0.24545885
34.41460795,0.243868335
36.41245972,0.243769822
38.28141783,0.242198374
39.63480129,0.242131639
41.18152524,0.243534661
43.11493018,0.243439325
45.17722879,0.247775504
46.46616541,0.246232657
47.81954887,0.247645212
49.1084855,0.243143785
49.23737916,0.21503092
49.23737916,0.185445122
49.23737916,0.172131512
50.3329753,0.173556779
51.49301826,0.173499577
52.91084855,0.170471085
54.13533835,0.170410706
55.87540279,0.171804193
57.67991407,0.174673794
